date,v
1995-03-01 00:00:00+00:00,16618.71
1995-03-02 00:00:00+00:00,16963.18
1995-03-03 00:00:00+00:00,17039.62
1995-03-06 00:00:00+00:00,17040.72
1995-03-07 00:00:00+00:00,16955.28
1995-03-08 00:00:00+00:00,16621.31
1995-03-09 00:00:00+00:00,16763.08
1995-03-10 00:00:00+00:00,16358.38
1995-03-13 00:00:00+00:00,16477.64
1995-03-14 00:00:00+00:00,16245.82
1995-03-15 00:00:00+00:00,16666.83
1995-03-16 00:00:00+00:00,16355.68
1995-03-17 00:00:00+00:00,16251.23
1995-03-20 00:00:00+00:00,16129.96
1995-03-22 00:00:00+00:00,15904.85
1995-03-23 00:00:00+00:00,15813.41
1995-03-24 00:00:00+00:00,15749.77
1995-03-27 00:00:00+00:00,16096.25
1995-03-28 00:00:00+00:00,16681.73
1995-03-29 00:00:00+00:00,16460.73
1995-03-30 00:00:00+00:00,16512.22
1995-03-31 00:00:00+00:00,16139.95
1995-04-03 00:00:00+00:00,15381.29
1995-04-04 00:00:00+00:00,15630.53
1995-04-05 00:00:00+00:00,15882.49
1995-04-06 00:00:00+00:00,15815.87
1995-04-07 00:00:00+00:00,15719.5
1995-04-10 00:00:00+00:00,16163.09
1995-04-11 00:00:00+00:00,16268.88
1995-04-12 00:00:00+00:00,16344.92
1995-04-13 00:00:00+00:00,16438.79
1995-04-14 00:00:00+00:00,16047.89
1995-04-17 00:00:00+00:00,16304.15
1995-04-18 00:00:00+00:00,16225.11
1995-04-19 00:00:00+00:00,16376.08
1995-04-20 00:00:00+00:00,16643.06
1995-04-21 00:00:00+00:00,16968.24
1995-04-24 00:00:00+00:00,16804.05
1995-04-25 00:00:00+00:00,16910.54
1995-04-26 00:00:00+00:00,16826.49
1995-04-27 00:00:00+00:00,16883.99
1995-04-28 00:00:00+00:00,16806.75
1995-05-01 00:00:00+00:00,16811.46
1995-05-02 00:00:00+00:00,17088.66
1995-05-08 00:00:00+00:00,17103.69
1995-05-09 00:00:00+00:00,16958.22
1995-05-10 00:00:00+00:00,16826.49
1995-05-11 00:00:00+00:00,16461.73
1995-05-12 00:00:00+00:00,16420.79
1995-05-15 00:00:00+00:00,16609.7
1995-05-16 00:00:00+00:00,16388.9
1995-05-17 00:00:00+00:00,16471.35
1995-05-18 00:00:00+00:00,16312.56
1995-05-19 00:00:00+00:00,16140.85
1995-05-22 00:00:00+00:00,15789.12
1995-05-23 00:00:00+00:00,15916.15
1995-05-24 00:00:00+00:00,15970.75
1995-05-25 00:00:00+00:00,15579.44
1995-05-26 00:00:00+00:00,15694.25
1995-05-29 00:00:00+00:00,15574.03
1995-05-30 00:00:00+00:00,15762.97
1995-05-31 00:00:00+00:00,15436.79
1995-06-01 00:00:00+00:00,15594.57
1995-06-02 00:00:00+00:00,15849.13
1995-06-05 00:00:00+00:00,15897.32
1995-06-06 00:00:00+00:00,15660.99
1995-06-07 00:00:00+00:00,15679.62
1995-06-08 00:00:00+00:00,15442.3
1995-06-09 00:00:00+00:00,15044.18
1995-06-12 00:00:00+00:00,14813.46
1995-06-13 00:00:00+00:00,14599.68
1995-06-14 00:00:00+00:00,14660.49
1995-06-15 00:00:00+00:00,14867.26
1995-06-16 00:00:00+00:00,14703.17
1995-06-19 00:00:00+00:00,14700.06
1995-06-20 00:00:00+00:00,14665.7
1995-06-21 00:00:00+00:00,14951.21
1995-06-22 00:00:00+00:00,14926.37
1995-06-23 00:00:00+00:00,15265.18
1995-06-26 00:00:00+00:00,15145.36
1995-06-27 00:00:00+00:00,14759.05
1995-06-28 00:00:00+00:00,14618.07
1995-06-29 00:00:00+00:00,14507.17
1995-06-30 00:00:00+00:00,14517.4
1995-07-03 00:00:00+00:00,14485.41
1995-07-04 00:00:00+00:00,14755.74
1995-07-05 00:00:00+00:00,14830.44
1995-07-06 00:00:00+00:00,15256.89
1995-07-07 00:00:00+00:00,16213.08
1995-07-10 00:00:00+00:00,16242.66
1995-07-11 00:00:00+00:00,16588.19
1995-07-12 00:00:00+00:00,16605.74
1995-07-13 00:00:00+00:00,16505.67
1995-07-14 00:00:00+00:00,16517.7
1995-07-17 00:00:00+00:00,16842.47
1995-07-18 00:00:00+00:00,16574.35
1995-07-19 00:00:00+00:00,16422.44
1995-07-20 00:00:00+00:00,16453.42
1995-07-21 00:00:00+00:00,16589.09
1995-07-24 00:00:00+00:00,16591.5
1995-07-25 00:00:00+00:00,16148.4
1995-07-26 00:00:00+00:00,16387.25
1995-07-27 00:00:00+00:00,16625.19
1995-07-28 00:00:00+00:00,16649.45
1995-07-31 00:00:00+00:00,16677.53
1995-08-01 00:00:00+00:00,16358.57
1995-08-02 00:00:00+00:00,16720.75
1995-08-03 00:00:00+00:00,16893.71
1995-08-04 00:00:00+00:00,16741.2
1995-08-07 00:00:00+00:00,16615.46
1995-08-08 00:00:00+00:00,16838.97
